Signal Type,Msg,Time,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
BCI,msg,28906.144589227,-187500.02235174447,-187500.02235174447,-159882.11749578925,-142268.49583011816,-147587.76397559216,-147386.9782551501,-145051.22095957052,-122180.15607358886
BCI,msg,28906.147648061,-187500.02235174447,-187500.02235174447,-159726.90698229158,-142070.34761552187,-147352.46716171113,-147257.06991637588,-144971.64874930965,-122106.88705526436
BCI,msg,28906.151530881,-187500.02235174447,-187500.02235174447,-159609.13564075658,-141936.57242495686,-147183.6444358402,-147174.2343514245,-144936.78002795935,-122042.04464459952
BCI,msg,28906.155579749,-187500.02235174447,-187500.02235174447,-159780.6182242177,-142154.6583956073,-147442.7011540772,-147314.78212055948,-145020.93434583358,-122120.40986065983
BCI,msg,28906.159607701,-187500.02235174447,-187500.02235174447,-159888.21952202555,-142277.4812313892,-147596.0788245295,-147391.82858369692,-145055.6466049727,-122180.91603290035
BCI,msg,28906.163662649,-187500.02235174447,-187500.02235174447,-159761.88746236413,-142113.30766836499,-147403.18326988022,-147282.99793994403,-144985.462127383,-122122.35446242744
BCI,msg,28906.167682053,-187500.02235174447,-187500.02235174447,-159607.23574247787,-141931.00684058748,-147177.72122355952,-147168.2887873994,-144930.18626334504,-122041.23998179914
BCI,msg,28906.172590367,-187500.02235174447,-187500.02235174447,-159744.81072960029,-142109.82079622993,-147387.0900138724,-147285.52368706747,-145005.31047645933,-122102.0143749731
BCI,msg,28906.175677614,-187500.02235174447,-187500.02235174447,-159887.25839701397,-142277.50358313366,-147594.2906849731,-147390.62158949632,-145055.95952939507,-122177.56327123205
BCI,msg,28906.179584674,-187500.02235174447,-187500.02235174447,-159793.44812553504,-142153.11612523987,-147450.72543033666,-147306.24375417756,-144996.83916531078,-122134.75968060014
BCI,msg,28906.183618345,-187500.02235174447,-187500.02235174447,-159614.2318384924,-141937.35473601278,-147186.8407352973,-147168.9369879886,-144925.715914454,-122043.94454287822
BCI,msg,28906.18762622,-187500.02235174447,-187500.02235174447,-159705.6504733146,-142061.56337995094,-147328.1261119993,-147252.66662271818,-144985.50683087192,-122081.74134275215
BCI,msg,28906.191669304,-187500.02235174447,-187500.02235174447,-159880.0387835549,-142269.92634176332,-147582.9359987898,-147385.0336533825,-145054.30550030537,-122172.4894252407
BCI,msg,28906.195696093,-187500.02235174447,-187500.02235174447,-159829.00975096342,-142196.52321297207,-147500.45806174973,-147335.01044929153,-145015.74874111995,-122153.78101513161
BCI,msg,28906.200604229,-187500.02235174447,-187500.02235174447,-159636.56123120323,-141961.42756479117,-147215.80859611137,-147183.3985666512,-144931.99675464592,-122057.24383082913
BCI,msg,28906.203646271,-187500.02235174447,-187500.02235174447,-159673.37455432114,-142019.8103213084,-147276.40417532972,-147225.62101192726,-144970.59821732025,-122067.92796467876
BCI,msg,28906.207578701,-187500.02235174447,-187500.02235174447,-159867.36534444874,-142255.0400799561,-147562.01476597963,-147375.80238292247,-145051.55623573737,-122165.94036411529
BCI,msg,28906.211602351,-187500.02235174447,-187500.02235174447,-159853.70842858654,-142228.3744488209,-147536.6678877673,-147354.63528092328,-145027.41635172564,-122164.48750072569
BCI,msg,28906.215598843,-187500.02235174447,-187500.02235174447,-159666.57962400673,-141995.96100997462,-147256.84639893132,-147204.5433169059,-144942.18915011754,-122073.9629356817
BCI,msg,28906.219611076,-187500.02235174447,-187500.02235174447,-159647.0889028417,-141985.03100693595,-147233.75704690898,-147202.71047386056,-144956.78483924686,-122057.73556920714
BCI,msg,28906.223682088,-187500.02235174447,-187500.02235174447,-159848.32165817282,-142232.28600410058,-147531.70580049822,-147361.6313769378,-145046.10241009027,-122157.51375645564
BCI,msg,28906.227620457,-187500.02235174447,-187500.02235174447,-159879.25647249896,-142260.27038815862,-147571.44720213977,-147376.7858596785,-145044.06840134485,-122180.2454805667
BCI,msg,28906.230657604,-187500.02235174447,-187500.02235174447,-159703.9964442249,-142040.0386500405,-147308.523632112,-147232.61710794177,-144957.65655728063,-122095.51001733662
BCI,msg,28906.235653714,-187500.02235174447,-187500.02235174447,-159626.927629343,-141957.9630444006,-147200.63176162622,-147183.86795328473,-144943.8655309517,-122050.22538307017
BCI,msg,28906.239641715,-187500.02235174447,-187500.02235174447,-159818.75030025846,-142197.48433798365,-147486.62233193187,-147338.60908014883,-145034.12187506224,-122142.47103243721
BCI,msg,28906.243694253,-187500.02235174447,-187500.02235174447,-159891.482876716,-142277.14595522237,-147588.3898244369,-147387.46999352812,-145051.62329097072,-122185.90047191388
BCI,msg,28906.247760722,-187500.02235174447,-187500.02235174447,-159741.52502316536,-142085.4350430292,-147361.22904553762,-147261.29439607792,-144973.48159235498,-122115.60423560193
BCI,msg,28906.251706577,-187500.02235174447,-187500.02235174447,-159616.80228910476,-141942.83091340435,-147181.9457032616,-147172.71443280156,-144935.03659189184,-122047.87844990236
BCI,msg,28906.255668934,-187500.02235174447,-187500.02235174447,-159783.1663230856,-142154.77015432957,-147432.62051732786,-147310.3117716684,-145018.87798534372,-122124.58963687297
BCI,msg,28906.25873889,-187500.02235174447,-187500.02235174447,-159896.62377794072,-142285.2372867152,-147595.2965134736,-147392.2309150971,-145056.31715730633,-122187.97918414822
BCI,msg,28906.263693815,-187500.02235174447,-187500.02235174447,-159781.3111282958,-142133.55834884147,-147417.08605493142,-147292.65389354873,-144992.50292688643,-122137.28542772359
BCI,msg,28906.267740803,-187500.02235174447,-187500.02235174447,-159621.3173414847,-141944.61905296077,-147183.6891393291,-147173.4296886241,-144934.14252211363,-122054.06988311648
BCI,msg,28906.271744167,-187500.02235174447,-187500.02235174447,-159749.1022645357,-142112.1453776533,-147378.59635097938,-147283.66849227768,-145006.27160147091,-122110.06100297702
BCI,msg,28906.275803732,-187500.02235174447,-187500.02235174447,-159896.86964712973,-142286.60074312697,-147593.6871878728,-147393.46026104217,-145060.0946021193,-122188.51562601516
BCI,msg,28906.27980731,-187500.02235174447,-187500.02235174447,-159813.20706763354,-142174.0597097945,-147463.86825607638,-147317.19610896066,-145006.5845258933,-122151.99287557518
BCI,msg,28906.283696869,-187500.02235174447,-187500.02235174447,-159632.24734452338,-141955.52670425497,-147196.76490983544,-147178.01179623746,-144934.05311513582,-122060.57424075298
BCI,msg,28906.286846973,-187500.02235174447,-187500.02235174447,-159709.4949733609,-142063.06094682944,-147317.9784200166,-147250.58791048382,-144987.29497042837,-122089.9667847117
BCI,msg,28906.290857932,-187500.02235174447,-187500.02235174447,-159884.6879464016,-142273.36851040943,-147575.1799434638,-147383.4913830151,-145056.00423288398,-122179.82079742204
BCI,msg,28906.295723868,-187500.02235174447,-187500.02235174447,-159840.0291609799,-142208.4143410223,-147503.40849201783,-147337.8714725818,-145018.92268883262,-122163.0346373361
BCI,msg,28906.299797352,-187500.02235174447,-187500.02235174447,-159645.79250166327,-141971.2176288626,-147217.3508664788,-147183.42091839563,-144931.75088545692,-122063.74818846563
BCI,msg,28906.303862847,-187500.02235174447,-187500.02235174447,-159665.86436818415,-142009.68498107017,-147254.47711401907,-147211.8523373428,-144961.3669468602,-122064.08346463245
BCI,msg,28906.30786935,-187500.02235174447,-187500.02235174447,-159859.69869610056,-142245.13825716238,-147539.9759459467,-147362.23487403808,-145043.46490424455,-122161.84999487997
BCI,msg,28906.311736471,-187500.02235174447,-187500.02235174447,-159856.30123094335,-142231.0119546666,-147529.49297779717,-147349.47202795412,-145024.95765983555,-122166.27564028213
BCI,msg,28906.31482163,-187500.02235174447,-187500.02235174447,-159671.4299525535,-142001.39248387725,-147253.82891342987,-147199.9388575481,-144938.29994658232,-122075.23698511565
BCI,msg,28906.318867039,-187500.02235174447,-187500.02235174447,-159631.7779578898,-141966.5684660159,-147202.7998808384,-147181.07398522782,-144940.82569370576,-122045.55386847901
BCI,msg,28906.323748733,-187500.02235174447,-187500.02235174447,-159826.64046605118,-142206.62620146587,-147491.36090175642,-147335.59159464738,-145028.75745639295,-122141.71107312574
BCI,msg,28906.327811301,-187500.02235174447,-187500.02235174447,-159867.29828921537,-142246.2334926407,-147544.91568147132,-147358.77035364753,-145032.22197678353,-122170.14249207289
BCI,msg,28906.331824616,-187500.02235174447,-187500.02235174447,-159701.22482791243,-142036.6188331388,-147295.35845462783,-147221.41888396966,-144949.49817055443,-122090.1679504118
BCI,msg,28906.335853982,-187500.02235174447,-187500.02235174447,-159607.63807387807,-141934.27019527796,-147163.59492106378,-147158.87870298373,-144926.52057725438,-122034.73562416264
BCI,msg,28906.338912183,-187500.02235174447,-187500.02235174447,-159783.07691610776,-142154.47958165166,-147426.11615969136,-147301.30401865294,-145010.76430210643,-122118.35350016993
BCI,msg,28906.342871133,-187500.02235174447,-187500.02235174447,-159864.77254209193,-142245.00414669563,-147540.825312236,-147357.89863561376,-145034.50185471796,-122168.4884629832
BCI,msg,28906.346911477,-187500.02235174447,-187500.02235174447,-159729.74565383742,-142071.19698181117,-147335.70335336964,-147243.07772434686,-144962.55158931634,-122106.01533723061
BCI,msg,28906.351774088,-187500.02235174447,-187500.02235174447,-159599.43498366297,-141920.59092767132,-147146.04880166636,-147150.07211566833,-144921.93846964103,-122035.87556312986
BCI,msg,28906.355825594,-187500.02235174447,-187500.02235174447,-159745.8612615897,-142107.7420839956,-147365.58763570638,-147273.8113729729,-145000.84012756828,-122104.7189360522
BCI,msg,28906.359859901,-187500.02235174447,-187500.02235174447,-159864.03493452488,-142244.4230013398,-147535.63970752238,-147360.15616180375,-145042.6378896997,-122173.11527408544
BCI,msg,28906.363933276,-187500.02235174447,-187500.02235174447,-159763.74265715393,-142112.23478463112,-147381.90440915877,-147271.4197363162,-144983.5622291043,-122129.23879971968
BCI,msg,28906.366948404,-187500.02235174447,-187500.02235174447,-159601.44664066395,-141920.21094801556,-147145.84763596626,-147148.61925227873,-144920.5973649737,-122042.40227251081
BCI,msg,28906.370912744,-187500.02235174447,-187500.02235174447,-159701.0013104679,-142053.31558624693,-147298.73356804057,-147237.73565742205,-144981.8187930368,-122084.64706953133
BCI,msg,28906.374964648,-187500.02235174447,-187500.02235174447,-159849.55100411785,-142229.08970464347,-147515.1655096013,-147349.7849523765,-145039.79921815387,-122167.61674494944
BCI,msg,28906.378969591,-187500.02235174447,-187500.02235174447,-159790.49769526694,-142146.36589841437,-147421.62345905585,-147293.34679762684,-144998.94022928958,-122146.91902958382
BCI,msg,28906.383925987,-187500.02235174447,-187500.02235174447,-159617.85282109416,-141938.15939881318,-147168.55700833286,-147158.65518553916,-144925.82767317625,-122056.95325815122
BCI,msg,28906.387880412,-187500.02235174447,-187500.02235174447,-159669.32888857473,-142013.97651600558,-147251.1020006063,-147211.60646815377,-144968.7653742749,-122073.80647347051
BCI,msg,28906.391936944,-187500.02235174447,-187500.02235174447,-159841.2808586694,-142220.48428302817,-147502.9614571287,-147344.2864232405,-145040.84975014327,-122167.14735831588
BCI,msg,28906.394952391,-187500.02235174447,-187500.02235174447,-159821.43250959308,-142185.6155616779,-147466.93044506674,-147319.20776596162,-145017.71569463203,-122167.39322750489
BCI,msg,28906.398931177,-187500.02235174447,-187500.02235174447,-159648.00532436435,-141973.0728236524,-147210.04184604192,-147180.64930208318,-144939.2610715939,-122079.55087179552
BCI,msg,28906.402996024,-187500.02235174447,-187500.02235174447,-159644.27258304032,-141982.68407376815,-147211.60646815377,-147190.50642138798,-144957.74596425844,-122066.564508267
BCI,msg,28906.406997811,-187500.02235174447,-187500.02235174447,-159826.5287073289,-142204.52513748707,-147479.60388417292,-147334.0716760244,-145038.56987220884,-122162.02880883562
BCI,msg,28906.411847411,-187500.02235174447,-187500.02235174447,-159845.95237326054,-142217.60090799344,-147501.06155885,-147340.82190284992,-145033.8313023843,-122182.8382829235
BCI,msg,28906.415877876,-187500.02235174447,-187500.02235174447,-159682.7846387368,-142014.40119915025,-147257.53930300943,-147207.2925814739,-144954.19203689005,-122101.7685057841
BCI,msg,28906.419955371,-187500.02235174447,-187500.02235174447,-159625.65357990903,-141957.9630444006,-147179.8446392828,-147174.56962759135,-144947.2629961089,-122061.1106826199
BCI,msg,28906.422983429,-187500.02235174447,-187500.02235174447,-159797.58319825926,-142171.6010179044,-147435.25802317358,-147312.43518739167,-145026.54463369187,-122145.95790457225
BCI,msg,28906.426954882,-187500.02235174447,-187500.02235174447,-159854.46838789803,-142232.1295418894,-147513.0197421336,-147349.60613842084,-145039.84392164278,-122185.90047191388
BCI,msg,28906.431035876,-187500.02235174447,-187500.02235174447,-159715.03820598582,-142055.34959499235,-147302.8686407648,-147232.93003236415,-144968.49715334145,-122120.45456414873
BCI,msg,28906.435052987,-187500.02235174447,-187500.02235174447,-159614.58946640368,-141942.87561689326,-147158.54342681688,-147164.7795635199,-144941.98798441744,-122061.33420006445
BCI,msg,28906.439923555,-187500.02235174447,-187500.02235174447,-159773.08568633624,-142142.0520117345,-147395.27075234303,-147294.95612322763,-145020.28614524438,-122136.79368934556
BCI,msg,28906.443937616,-187500.02235174447,-187500.02235174447,-159871.52276891744,-142253.4307543553,-147535.3267831,-147365.81115315095,-145053.00909912697,-122197.63513775292
BCI,msg,28906.447003361,-187500.02235174447,-187500.02235174447,-159765.73196241044,-142114.76053175455,-147372.69549044318,-147274.5713322844,-144994.69339784308,-122152.37285523092
