('BCI', 24933.98311807, [-7366.285606179907, -7320.7998062133565, -7460.945243948132, -8227.58772702071, -63888.43821149328, -98404.6278482232, -129304.93108092918, -140240.63381441042])
('BCI', 24933.987140017, [-7366.062088735353, -7320.665695746625, -7460.542912547936, -8227.38656132061, -63888.460563237735, -98404.4266825231, -129304.68521174017, -140240.6561661549])
('BCI', 24933.991134407, [-7366.777344557923, -7321.403303313649, -7461.280520114961, -8228.10181714318, -63889.3322812715, -98405.09723485676, -129305.48987454057, -140241.5055324442])
('BCI', 24933.995196153, [-7366.620882346736, -7321.135082380186, -7461.14640964823, -8227.990058420904, -63889.376984760405, -98405.11958660121, -129305.44517105164, -140241.52788418866])
('BCI', 24933.999174119, [-7366.106792224264, -7320.620992257714, -7460.699374759123, -8227.520671787343, -63889.1311155714, -98404.78431043439, -129305.04283965146, -140241.37142197747])
('BCI', 24934.002190233, [-7366.330309668817, -7320.956268424544, -7460.878188714766, -8227.721837487441, -63889.578150460504, -98404.94077264557, -129305.33341232938, -140241.81845686657])
('BCI', 24934.007108039, [-7368.945463770087, -7323.526719036904, -7463.403935838215, -8230.269936355346, -63892.372118517414, -98407.55592674685, -129307.99326991955, -140244.61242492349])
('BCI', 24934.011154033, [-7367.98433875851, -7322.54324228087, -7462.554569548914, -8229.4429218105, -63891.63451095039, -98406.81831917982, -129307.27801409698, -140243.9418725898])
('BCI', 24934.01513421, [-7368.721946325535, -7323.213794614529, -7463.314528860394, -8230.359343333166, -63892.57328421751, -98407.73474070248, -129308.1720838752, -140244.9477010903])
('BCI', 24934.019213307, [-7369.683071337113, -7324.040809159375, -7463.940377705143, -8231.074599155736, -63893.445002251276, -98408.44999652506, -129308.97674667559, -140245.93117784633])
('BCI', 24934.023229844, [-7368.8784085367215, -7323.280849847895, -7463.113363160296, -8230.269936355346, -63892.77444991761, -98407.75709244695, -129308.23913910857, -140245.37238423497])
('BCI', 24934.027163789, [-7368.565484114348, -7323.034980658887, -7462.956900949109, -8230.202881121979, -63892.88620863989, -98407.84649942476, -129308.14973213074, -140245.43943946832])
('BCI', 24934.030203391, [-7366.464420135549, -7320.956268424544, -7460.989947437042, -8228.235927609912, -63891.053365594555, -98405.9242494016, -129306.27218559649, -140243.62894816746])
('BCI', 24934.034254213, [-7366.978510258021, -7321.425655058105, -7461.302871859417, -8228.638259010108, -63891.70156618376, -98406.3265808018, -129306.7192204856, -140244.27714875666])
('BCI', 24934.039161724, [-7367.067917235842, -7321.4480068025605, -7461.213464881595, -8228.593555521198, -63891.85802839495, -98406.34893254626, -129306.7192204856, -140244.47831445676])
('BCI', 24934.04322497, [-7368.297263180883, -7322.6773527476025, -7462.6216247822795, -8229.957011932971, -63893.51205748464, -98407.7794441914, -129308.06032515292, -140245.93117784633])
('BCI', 24934.047207542, [-7367.447896891582, -7321.872689947211, -7461.951072448621, -8229.353514832677, -63893.087374339986, -98407.22065058001, -129307.38977281927, -140245.32768074606])
('BCI', 24934.051265667, [-7364.877446279222, -7319.346942823761, -7459.313566602894, -8226.716008986952, -63890.74044117218, -98404.73960694547, -129304.77461871799, -140242.98074757823])
('BCI', 24934.055191703, [-7364.899798023677, -7319.391646312672, -7459.134752647252, -8226.693657242497, -63891.0310138501, -98404.80666217885, -129304.70756348463, -140243.22661676726])
('BCI', 24934.058213386, [-7362.642271833691, -7317.156471867142, -7456.988985179542, -8224.570241519243, -63889.26522603813, -98402.75030168895, -129302.56179601692, -140241.1926080218])
('BCI', 24934.062242688, [-7363.446934634082, -7317.916431178622, -7458.0395171689415, -8225.464311297454, -63890.47222023871, -98403.8231854228, -129303.47821753958, -140242.26549175568])
('BCI', 24934.067170355, [-7365.8385712908, -7320.330419579795, -7460.274691614472, -8227.833596209717, -63893.24383655118, -98406.2818773129, -129305.8698541963, -140244.81359062358])
('BCI', 24934.071193921, [-7368.118449225241, -7322.476187047504, -7462.398107337726, -8229.934660188515, -63895.74723193017, -98408.3829412917, -129307.94856643064, -140247.13817204692])
('BCI', 24934.075224044, [-7365.4138881461495, -7319.8610329462335, -7459.939415447643, -8227.364209576155, -63893.40029876236, -98405.94660114606, -129305.26635709601, -140244.7018319013])
('BCI', 24934.078331492, [-7364.095135223286, -7318.54228002337, -7458.7994764804225, -8226.090160142203, -63892.55093247306, -98404.94077264557, -129304.05936289542, -140243.58424467852])
('BCI', 24934.082253795, [-7362.396402644683, -7316.865899189223, -7457.078392157364, -8224.279668841324, -63891.20982780574, -98403.30909530034, -129302.45003729463, -140242.01962256667])
('BCI', 24934.086245602, [-7361.971719500032, -7316.4635677890265, -7456.497246801526, -8223.631468252119, -63891.12042082792, -98402.81735692231, -129302.0700576389, -140241.77375337767])
('BCI', 24934.090252107, [-7362.93284451161, -7317.379989311695, -7457.458371813103, -8224.682000241519, -63892.41682200633, -98403.93494414509, -129303.12058962829, -140242.98074757823])
('BCI', 24934.095243872, [-7360.74237355499, -7315.21187009953, -7455.469066556581, -8222.58093626272, -63890.427516749805, -98402.01269412192, -129301.08658088287, -140241.08084929953])
('BCI', 24934.099259188, [-7359.356565398761, -7313.937820665577, -7454.172665378173, -8221.239831595401, -63889.242874293675, -98400.80569992134, -129299.79017970446, -140240.07502079906])
('BCI', 24934.103293012, [-7358.9542339985655, -7313.5801927542925, -7453.613871766791, -8220.748093217384, -63889.086412082484, -98400.35866503224, -129299.45490353763, -140239.8067998656])
('BCI', 24934.106298794, [-7357.702536309068, -7312.306143320339, -7452.47393279957, -8219.474043783432, -63888.16999055982, -98399.28578129839, -129298.35966805932, -140238.845674854])
